Campaign name,Ad set name,Ad name,Amount spent (GBP),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Purchases,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Adds to cart,Reporting starts,Reporting ends
SW | Advantage+ & LAL Sales | UK,Advantage Plus (Exc. Existing Customers),Video - Affirmation Undies Community,10.82,1733,6.24350837,8,1.3525,0.46162724,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - Interest Lingerie,VID - COMMENTS - V5 - 401634265985060 – Copy,10.70,2611,4.09804673,6,1.78333333,0.22979701,1,10.7,44.91,4.19719626,,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,INT STACK: ALL INTERESTS COMBINED,POST - MAY BOX – Copy,10.65,2364,4.50507614,9,1.18333333,0.38071066,,,,,3,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,COLL - TYPING VIDEO - V1 – Copy,10.63,1971,5.39320142,3,3.54333333,0.152207,,,,,1,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Switzerland Campaign,SW | Advantage+ Sales | Subscription | Switzerland Ad Set,Carousel - Dynamic – Copy,10.56,1579,6.68777707,40,0.264,2.53324889,1,10.56,41.02,3.8844697,1,2024-01-01,2024-12-31
SW | Cherry Rodeo - Adv Shopping | USA  Campaign,SW | Cherry Rodeo - Adv Shopping | USA  Ad Set,Video - Reveal,10.17,998,10.19038076,29,0.35068966,2.90581162,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45 – DUPLICATE - TEST NEW VIDS,VID - SPLIT - V2 - 385170974298056 – Copy,10.06,1372,7.33236152,11,0.91454545,0.80174927,2,5.03,62,6.16302187,,2024-01-01,2024-12-31
SW | NL - Sales - Black Friday Campaign Campaign,SW | NL - Sales - Black Friday Campaign Ad Set,Collection BF,9.97,1120,8.90178571,15,0.66466667,1.33928571,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,CAROUSEL 1 - V4 – Copy,9.74,1688,5.77014218,4,2.435,0.23696682,1,9.74,31,3.18275154,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - RTGing,Video - Sofia Voice Over (July) - Flexible,9.73,2314,4.2048401,11,0.88454545,0.47536733,,,,,4,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - RTGing,Dynamic Collection - Video Hero – Copy 2,9.67,2111,4.58076741,21,0.46047619,0.9947892,,,,,,2024-01-01,2024-12-31
SW | Retargeting - Sales | All GEOs,"UK - ATC, IC, Payment Info (excluding Purchasers)",Previous Set Collage,9.56,308,31.03896104,,,,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - US TEST 2 Campaign,PN | ADVANTAGE PLUS  Campaign - US TEST 2 Ad Set,POST - MAY BOX,9.42,1098,8.57923497,6,1.57,0.54644809,1,9.42,48.71,5.17091295,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Belgium Campaign,SW | Advantage+ Sales | Subscription | Belgium Ad Set,Video - Monthly Me-Time (flexible),9.25,3182,2.90697674,22,0.42045455,0.69138906,,,,,,2024-01-01,2024-12-31
PN | T/M/BOF - US,ENG LAL STACK 5%,VID - ASMR UNBOXING - 370017892480031 – Copy,9.05,1240,7.2983871,11,0.82272727,0.88709677,1,9.05,46.74,5.16464088,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,A+ ENG LAL 1-3%,Video - July Set,8.87,1628,5.44840295,11,0.80636364,0.67567568,,,,,2,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,VID - IT'S MONTHLY ME TIME - V2 - 365088586306295 – Copy,8.48,1576,5.38071066,8,1.06,0.50761421,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Video - Oct Unboxing – Copy 3,8.11,791,10.2528445,18,0.45055556,2.27560051,,,,,3,2024-01-01,2024-12-31
PN | T/M/BOF - US,INT STACK: BEAUTY SUBSCRIPTION BOXES,VID - WE TOOK LINGERIE - V2 - 365088676306286 – Copy,7.84,815,9.6196319,11,0.71272727,1.34969325,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - RTGing,Video - July Set,7.79,1841,4.23139598,16,0.486875,0.86909288,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,POST - MAY BOX,7.68,1556,4.93573265,7,1.09714286,0.44987147,1,7.68,46.41,6.04296875,1,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,COLL - TYPING VIDEO - V1 – Copy,7.64,1408,5.42613636,6,1.27333333,0.42613636,2,3.82,57.35,7.5065445,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - Interest Lingerie,Dynamic Collection - Static 3 Obsession – Copy 2,7.49,1943,3.85486361,8,0.93625,0.41173443,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,UK RTGing | CPR Cap 22,POST - NO SUBSCRIPTION BEFORE US - V1 - 432116986270121 – Copy 2,7.48,1438,5.20166898,9,0.83111111,0.62586926,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY,POST - MAY SUBSCRIBE – Copy,7.45,1149,6.48389904,4,1.8625,0.34812881,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,Dynamic Collection - Static 3 Obsession – Copy,7.42,1328,5.5873494,5,1.484,0.37650602,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL VID VIEWS 1-3%,POST - BEST SET,7.20,1971,3.65296804,3,2.4,0.152207,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Static - Flatlay – Copy 2,7.01,1285,5.45525292,15,0.46733333,1.16731518,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,INT STACK: BEAUTY,POST - MAY SET – Copy,6.97,2281,3.05567733,29,0.24034483,1.27137221,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - Interest Lingerie,Dynamic Collection - Video Hero – Copy 2,6.96,1569,4.43594646,12,0.58,0.76481836,,,,,2,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,INT STACK: ALL INTERESTS COMBINED,POST - NO SUBSCRIPTION BEFORE US - V1 - 432116986270121 – Copy,6.77,1709,3.96138092,15,0.45133333,0.87770626,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,CAROUSEL 2 - V2 - 365088956306258 – Copy,6.70,1048,6.39312977,5,1.34,0.47709924,1,6.7,31,4.62686567,2,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL Purchases | CPR Cap 25,Dynamic Collection - Static 1 Hero,6.67,850,7.84705882,5,1.334,0.58823529,,,,,2,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,CAROUSEL 2 - V2 - 365088956306258 – Copy,6.59,1036,6.36100386,2,3.295,0.19305019,1,6.59,26.35,3.99848255,,2024-01-01,2024-12-31
PN | IG TRAFFIC,TRAFFIC,POST - LINGERIE EACH MONTH,6.56,11914,0.55061272,511,0.01283757,4.28907168,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,INT STACK: BEAUTY,CAROUSEL 2 - V2 - 365088956306258 – Copy,6.52,2786,2.34027279,11,0.59272727,0.3948313,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Belgium Campaign,SW | Advantage+ Sales | Subscription | Belgium Ad Set,Video - Unboxing – August,6.21,1162,5.34423408,21,0.29571429,1.80722892,1,6.21,101.75,16.38486312,3,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs | ROAS Goal,"Retargeting US, UK & EU | CPR CAP 25GBP",Dynamic Collection - July Sofia Voiceover,6.18,654,9.44954128,1,6.18,0.1529052,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Advantage+ catalog ad,6.07,1002,6.05788423,22,0.27590909,2.19560878,,,,,,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting UK (Engaged Shoppers),Carousel - Monthly Sets – Discount,5.89,971,6.06591143,3,1.96333333,0.30895984,,,,,,2024-01-01,2024-12-31
PN | T/M/BOF - US,INT STACK: LINGERIE,VID - SPLIT - V2 - 385170974298056 – Copy,5.84,431,13.54988399,5,1.168,1.16009281,,,,,3,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Interest: Lingerie & Stores,Static - Dec,5.82,1333,4.36609152,20,0.291,1.50037509,2,2.91,71.95,12.36254296,3,2024-01-01,2024-12-31
SW | BE - Sales - Black Friday Campaign Campaign,SW | BE - Sales - Black Friday Campaign Ad Set,Carousel - Dynamic,5.70,605,9.4214876,2,2.85,0.33057851,,,,,3,2024-01-01,2024-12-31
SW | Retargeting & Catalogue 2 | All GEOs,Retargeting US,Dynamic Carousel,5.58,820,6.80487805,6,0.93,0.73170732,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Static - Flatlay - Nov – Copy,5.54,1047,5.2913085,18,0.30777778,1.71919771,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,POST - APRIL BOX REVEAL – Copy,5.52,1016,5.43307087,4,1.38,0.39370079,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,Re-Targeting - US,Dynamic Collection - Video Hero – Copy 3,5.44,396,13.73737374,3,1.81333333,0.75757576,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,LAL CL 1-3%,VID - COMMENTS - V5 - 401634265985060 – Copy,5.29,938,5.63965885,4,1.3225,0.42643923,,,,,,2024-01-01,2024-12-31
SW | CH - Sales - Black Friday Campaign Campaign,SW | CH - Sales - Black Friday Campaign Ad Set,Carousel - Dynamic,5.20,302,17.21854305,2,2.6,0.66225166,1,5.2,41.55,7.99038462,8,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,VID - COMMENTS - V5 - 401634265985060 – Copy,5.10,650,7.84615385,4,1.275,0.61538462,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,VID - COMMENTS - V5 - 401634265985060 – Copy,4.92,1125,4.37333333,2,2.46,0.17777778,1,4.92,46.02,9.35365854,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,POST - MAY SUBSCRIBE,4.78,1042,4.58733205,3,1.59333333,0.28790787,,,,,,2024-01-01,2024-12-31
PN | IG TRAFFIC,TRAFFIC,POST - MAY SUBSCRIBE,4.57,4180,1.09330144,66,0.06924242,1.57894737,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,VID - COMMENTS - V5 - 401634265985060 – Copy,4.57,775,5.89677419,2,2.285,0.25806452,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45 – DUPLICATE - TEST NEW VIDS,IMG COLL - V1 – Copy,4.45,750,5.93333333,4,1.1125,0.53333333,,,,,,2024-01-01,2024-12-31
SW | Retargeting & Catalogue 2 | All GEOs,Retargeting UK,Dynamic Carousel – Front Card,4.29,925,4.63783784,2,2.145,0.21621622,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS - NEW CAMPAIGN STYLE,INT STACK: LINGERIE & BEAUTY,VID - VIRAL - V1 - 385171027631384,4.27,677,6.30723781,6,0.71166667,0.88626292,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: TV SHOWS,VID - SPLIT - V2 - 385170974298056 – Copy,4.17,633,6.58767773,3,1.39,0.47393365,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,INT STACK: SHOPPING,VID - COMMENTS - V5 - 401634265985060 – Copy,4.15,880,4.71590909,4,1.0375,0.45454545,,,,,3,2024-01-01,2024-12-31
PN | T/M/BOF - US,ENG LAL STACK 5%,CAROUSEL 2 - V2 - 365088956306258 – Copy,4.14,468,8.84615385,1,4.14,0.21367521,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - UK (SW for filters)),PN | ADVANTAGE PLUS  Ad Set,CAROUSEL 2 - V2 - 365088956306258,4.05,709,5.7122708,2,2.025,0.28208745,,,,,,2024-01-01,2024-12-31
SW | Retargeting & Catalogue 2 | All GEOs,Retargeting EU,Dynamic Collection - Static 3 Obsession – Copy,4.05,1406,2.88051209,3,1.35,0.21337127,,,,,,2024-01-01,2024-12-31
PN | CBO UK | £50,BROAD - FEMALE - 18-45 – Copy,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy,3.96,673,5.88410104,10,0.396,1.4858841,1,3.96,76,19.19191919,2,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,BROAD - FEMALE - 18-45,POST - MAY BOX – Copy,3.95,688,5.74127907,2,1.975,0.29069767,,,,,,2024-01-01,2024-12-31
PN | CBO UK | £50,INT STACK: BEAUTY – Copy,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy,3.91,704,5.55397727,7,0.55857143,0.99431818,,,,,,2024-01-01,2024-12-31
SW | Cherry Rodeo - Adv Shopping | USA  Campaign,SW | Cherry Rodeo - Adv Shopping | USA  Ad Set,Video - Cherry Duo,3.78,360,10.5,6,0.63,1.66666667,,,,,,2024-01-01,2024-12-31
SW | Retargeting & Catalogue 2 | All GEOs,Retargeting US,Dynamic Collection - Static 3 Obsession – Copy,3.78,482,7.84232365,3,1.26,0.62240664,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY BRANDS,IMG COLL - V1 – Copy,3.61,475,7.6,,,,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Belgium Campaign,SW | Advantage+ Sales | Subscription | Belgium Ad Set,Video - Unboxing - Nov – Copy,3.56,731,4.87004104,8,0.445,1.09439124,,,,,1,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting EU (Engaged Shoppers),Carousel - Monthly Sets,3.51,763,4.60026212,4,0.8775,0.5242464,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,PURCH LAL 5%,CAROUSEL 2 - V2 - 365088956306258 – Copy,3.45,565,6.10619469,1,3.45,0.17699115,3,1.15,109,31.5942029,1,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS - NEW CAMPAIGN STYLE,INT STACK: LINGERIE & BEAUTY,POST - MAY SUBSCRIBE,3.44,542,6.34686347,1,3.44,0.18450185,,,,,,2024-01-01,2024-12-31
SW | NL - Sales - Black Friday Campaign Campaign,SW | NL - Sales - Black Friday Campaign Ad Set,Carousel - Dynamic,3.38,317,10.66246057,3,1.12666667,0.94637224,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Belgium Campaign,SW | Advantage+ Sales | Subscription | Belgium Ad Set,Advantage+ catalog ad,3.13,683,4.58272328,10,0.313,1.46412884,,,,,,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting US (Engaged Shoppers),Dynamic Carousel,3.12,405,7.7037037,4,0.78,0.98765432,1,3.12,58.92,18.88461538,2,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,CAROUSEL 2 - V2 - 365088956306258 – Copy,3.11,507,6.13412229,,,,,,,,,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,PURCH LAL 1-5%,POST - NO SUBSCRIPTION BEFORE US - V1 - 432116986270121 – Copy,3.09,798,3.87218045,5,0.618,0.62656642,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs | ROAS Goal,"Retargeting US, UK & EU | CPR CAP 25GBP",Video - Siren of the Sea,2.95,333,8.85885886,,,,,,,,,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,ENG LAL 1-3%,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy,2.91,558,5.21505376,2,1.455,0.35842294,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,LAL CL 1-3%,CAROUSEL 2 - V2 - 365088956306258 – Copy,2.90,1331,2.17881292,4,0.725,0.30052592,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,POST - MAY SET – Copy,2.88,763,3.77457405,14,0.20571429,1.83486239,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - Interest Lingerie,CAROUSEL 2 - V2 - 365088956306258 – Copy,2.82,1176,2.39795918,3,0.94,0.25510204,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,LAL CL 1-3%,VID - SUBSCRIPTION BOX - V2 - 389185397229947 – Copy,2.74,712,3.84831461,10,0.274,1.40449438,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - RTGing,VID - COMMENTS - V5 - 401634265985060 – Copy 2,2.65,459,5.77342048,1,2.65,0.21786492,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - LAL Purchases,Dynamic Collection - Video Hero – Copy,2.60,452,5.75221239,4,0.65,0.88495575,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,INT STACK: BEAUTY,VID - SPLIT - V2 - 385170974298056 – Copy 2,2.56,791,3.23640961,4,0.64,0.505689,,,,,,2024-01-01,2024-12-31
SW | BE - Sales - Black Friday Campaign Campaign,SW | BE - Sales - Black Friday Campaign Ad Set,Static BF,2.49,416,5.98557692,8,0.31125,1.92307692,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - LAL Purchases,Dynamic Collection - Static 1 Hero – Copy,2.35,535,4.39252336,4,0.5875,0.74766355,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: ALL INTERESTS COMBINED,Dynamic Collection - Video Hero – Copy,2.24,334,6.70658683,22,0.10181818,6.58682635,,,,,,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting EU (Engaged Shoppers),Carousel - Monthly Sets – Discount,2.11,488,4.32377049,1,2.11,0.20491803,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Video - Unboxing - Nov,2.07,292,7.0890411,4,0.5175,1.36986301,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | USA,A+ USA,Reel - July Sneak Peak,2.03,297,6.83501684,3,0.67666667,1.01010101,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,POST - APRIL BOX – Copy,2.01,409,4.91442543,3,0.67,0.73349633,,,,,,2024-01-01,2024-12-31
PN | T/M/BOF - US,LAL CL 1-3%,VID - ASMR UNBOXING - 370017892480031 – Copy,1.94,186,10.43010753,1,1.94,0.53763441,,,,,,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting UK (Engaged Shoppers),Carousel - Monthly Sets,1.91,261,7.31800766,,,,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,Beauty Interest - UK,Dynamic Collection - Video Hero – Copy 4,1.89,123,15.36585366,,,,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,Re-Targeting - US,Dynamic Collection - July Set – Copy,1.89,196,9.64285714,,,,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - AUSTRALIA/NEW ZEALAND Campaign,PN | ADVANTAGE PLUS  Campaign - AUSTRALIA/NEW ZEALAND Ad Set,CAROUSEL 2 - V2 - 365088956306258,1.80,450,4,2,0.9,0.44444444,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - US TEST 2 Campaign,PN | ADVANTAGE PLUS  Campaign - US TEST 2 Ad Set,VID - COMMENTS - V5 - 401634265985060,1.80,144,12.5,4,0.45,2.77777778,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: ALL INTERESTS COMBINED,POST - BEST SET,1.80,512,3.515625,,,,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Static - Oct Flatlay – Copy,1.73,206,8.39805825,1,1.73,0.48543689,,,,,,2024-01-01,2024-12-31
PN | CBO UK | £50,PURCH LAL 5% – Copy,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy 2,1.70,357,4.76190476,3,0.56666667,0.84033613,,,,,,2024-01-01,2024-12-31
SW | Cherry Rodeo - Sales (Purchases) | UK & EU,Advantage Plus (Exc. Existing Customers),Static - Collage,1.70,366,4.64480874,14,0.12142857,3.82513661,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Belgium Campaign,SW | Advantage+ Sales | Subscription | Belgium Ad Set,Video - Oct Unboxing – Copy 3,1.60,285,5.61403509,,,,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Netherlands Campaign,SW | Advantage+ Sales | Subscription | Netherlands Ad Set,Video - Unboxing - Nov – Copy,1.60,247,6.47773279,4,0.4,1.6194332,,,,,,2024-01-01,2024-12-31
SW | Advantage+ & LAL GIFTING | UK,Interest: Lingerie & Stores (Women),Gifting - Static (Women),1.55,209,7.41626794,2,0.775,0.9569378,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY,VID - COMMENTS - V5 - 401634265985060 – Copy,1.43,273,5.23809524,4,0.3575,1.46520147,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,CAROUSEL 2 - V2 - 365088956306258,1.30,362,3.59116022,3,0.43333333,0.82872928,2,0.65,67.9,52.23076923,,2024-01-01,2024-12-31
SW | Retargeting & Catalogue 2 | All GEOs,Retargeting EU,Dynamic Carousel – Front Card,1.25,458,2.72925764,2,0.625,0.43668122,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: ALL INTERESTS COMBINED,Dynamic Collection - Static 2 Hero – Copy,1.23,272,4.52205882,8,0.15375,2.94117647,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,UK RTGing | CPR Cap 22,Dynamic Collection - Video Hero,1.10,270,4.07407407,,,,,,,,,2024-01-01,2024-12-31
SW | CH - Sales - Black Friday Campaign Campaign,SW | CH - Sales - Black Friday Campaign Ad Set,Static BF,1.07,53,20.18867925,1,1.07,1.88679245,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,VID - COMMENTS - V5 - 401634265985060 – Copy,1.07,148,7.22972973,,,,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS - NEW CAMPAIGN STYLE,INT STACK: LINGERIE & BEAUTY,POST - MAY BOX,0.92,130,7.07692308,,,,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,INT STACK: SHOPPING,POST - MAY SET – Copy,0.87,297,2.92929293,5,0.174,1.68350168,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | EU,A+ EU,Reel - July Sneak Peak,0.86,198,4.34343434,2,0.43,1.01010101,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,UK RTGing | CPR Cap 22,Dynamic Collection - Static 3 Obsession,0.86,158,5.44303797,,,,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,VID - COMMENTS - V5 - 401634265985060 – Copy,0.85,135,6.2962963,3,0.28333333,2.22222222,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: TV SHOWS,VID - COMMENTS - V5 - 401634265985060 – Copy,0.78,136,5.73529412,1,0.78,0.73529412,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,BROAD - FEMALE - 18-45,CAROUSEL 2 - V2 - 365088956306258 – Copy,0.72,306,2.35294118,,,,,,,,,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Belgium Campaign,SW | Advantage+ Sales | Subscription | Belgium Ad Set,Static - Oct Flatlay – Copy,0.69,179,3.8547486,,,,,,,,,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,BROAD - FEMALE - 18-45,VID - COMMENTS - V5 - 401634265985060 – Copy,0.69,103,6.69902913,1,0.69,0.97087379,,,,,,2024-01-01,2024-12-31
PN | CBO UK | £50,INT STACK: BEAUTY – Copy,VID - SPLIT - V2 - 385170974298056 – Copy,0.67,137,4.89051095,2,0.335,1.45985401,,,,,,2024-01-01,2024-12-31
SW | Cherry Rodeo - Adv Shopping | USA  Campaign,SW | Cherry Rodeo - Adv Shopping | USA  Ad Set,Static - Collage,0.67,54,12.40740741,2,0.335,3.7037037,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY,CAROUSEL 2 - V2 - 365088956306258 – Copy,0.61,128,4.765625,,,,1,0.61,31,50.81967213,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - Interest - Lingerie & Stores,VID - COMMENTS - V5 - 401634265985060 – Copy 3,0.59,147,4.01360544,1,0.59,0.68027211,,,,,,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs | ROAS Goal,"Retargeting US, UK & EU | CPR CAP 25GBP",Video - All Sets,0.57,54,10.55555556,1,0.57,1.85185185,,,,,,2024-01-01,2024-12-31
SW | Advantage+ & LAL Sales | UK,Interest: Lingerie & Stores,Video - Unboxing - Dec – Copy,0.55,101,5.44554455,,,,,,,,,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,INT STACK: ALL INTERESTS COMBINED,VID - COMMENTS - V5 - 401634265985060 – Copy,0.52,89,5.84269663,,,,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,UK RTGing | CPR Cap 22,Video - July Set,0.46,41,11.2195122,,,,,,,,,2024-01-01,2024-12-31
